YEAR^dist_code^port_code^I_COMMODITY^CTY_NAME^GEN_VAL_MO^trade_type^PORT_NAME^CTY_CODE^I_COMMODITY_SDESC^I_COMMODITY^PORT^YEAR
2020^23^07^10^NAFTA^43590^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^45130^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^0^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^0^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^6062^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^0^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^0^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^2036^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^5442^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^07^10^NAFTA^0^import^"RIO GRANDE CITY, TX"^0020^CEREALS^10^2307^2020
2020^23^09^10^NAFTA^28797^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^0^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^72613^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^0^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^0^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^0^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^0^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^97339^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^0^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^09^10^NAFTA^0^import^"PROGRESO, TX"^0020^CEREALS^10^2309^2020
2020^23^10^10^NAFTA^3994^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^21418^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^2399^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^42794^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^17136^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^25556^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^25931^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^25980^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^39969^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^24848^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^44476^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^10^10^NAFTA^48229^import^"ROMA, TX"^0020^CEREALS^10^2310^2020
2020^23^01^10^TWENTY LATIN AMERICAN REPUBLICS^12500^import^"BROWNSVILLE, TX"^0021^CEREALS^10^2301^2020
2020^23^01^10^TWENTY LATIN AMERICAN REPUBLICS^0^import^"BROWNSVILLE, TX"^0021^CEREALS^10^2301^2020
2020^23^01^10^TWENTY LATIN AMERICAN REPUBLICS^0^import^"BROWNSVILLE, TX"^0021^CEREALS^10^2301^2020
2020^23^01^10^TWENTY LATIN AMERICAN REPUBLICS^0^import^"BROWNSVILLE, TX"^0021^CEREALS^10^2301^2020
2020^23^01^10^TWENTY LATIN AMERICAN REPUBLICS^0^import^"BROWNSVILLE, TX"^0021^CEREALS^10^2301^2020
2020^23^01^10^TWENTY LATIN AMERICAN REPUBLICS^0^import^"BROWNSVILLE, TX"^0021^CEREALS^10^2301^2020
2020^23^01^10^TWENTY LATIN AMERICAN REPUBLICS^0^import^"BROWNSVILLE, TX"^0021^CEREALS^10^2301^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^351928^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
2020^23^04^10^TWENTY LATIN AMERICAN REPUBLICS^375217^import^"LAREDO, TX"^0021^CEREALS^10^2304^2020
